year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2018,1,8,wv,US,119733,55451,60191,41850
2018,1,8,wy,US,40231,14939,16449,10672
2018,1,9,ALL,"",32387734,9873120,12204725,7446755
2018,1,9,ALL_CA,CA,1,1,1,1
2018,1,9,ALL_US,US,32387733,9873119,12204724,7446754
2018,1,9,ak,US,41707,14524,15782,10836
2018,1,9,al,US,621482,198659,254210,153311
2018,1,9,ar,US,338990,107639,135740,81536
2018,1,9,as,US,50,32,42,29
2018,1,9,az,US,637603,195985,234001,145900
2018,1,9,bc,CA,1,1,1,1
2018,1,9,ca,US,3613159,1070973,1235574,789350
2018,1,9,co,US,534599,161533,188009,117260
2018,1,9,ct,US,272960,87172,108496,63561
2018,1,9,dc,US,205634,69550,38597,24703
2018,1,9,de,US,74385,26744,29468,18427
2018,1,9,fl,US,3121898,932608,1066620,642860
2018,1,9,ga,US,1242116,361740,467471,269318
2018,1,9,gu,US,4633,1986,2455,1557
2018,1,9,hi,US,138316,37482,36158,24020
2018,1,9,ia,US,294831,99006,123980,75395
2018,1,9,id,US,126332,41973,51781,31971
2018,1,9,il,US,1165150,366229,454371,274589
2018,1,9,in,US,604978,195521,248821,148697
2018,1,9,ks,US,338449,112969,141096,85385
2018,1,9,ky,US,394909,133601,161932,99196
2018,1,9,la,US,516999,163997,201930,122814
2018,1,9,ma,US,498233,163181,183757,110684
2018,1,9,md,US,548143,185534,206632,128469
2018,1,9,me,US,75819,27174,33410,20794
2018,1,9,mi,US,908438,292967,383386,230018
2018,1,9,mn,US,486779,155891,192752,118256
2018,1,9,mo,US,625583,203493,250246,151929
2018,1,9,mp,US,478,317,468,314
2018,1,9,ms,US,299382,95360,116896,70205
2018,1,9,mt,US,72150,24658,28678,18586
2018,1,9,nc,US,1054086,335947,424084,253909
2018,1,9,nd,US,75601,25903,30530,18828
2018,1,9,ne,US,216026,70404,88831,53917
2018,1,9,nh,US,101029,34393,41954,24868
2018,1,9,nj,US,843519,268486,337702,197397
2018,1,9,nm,US,127772,44294,50180,31901
2018,1,9,nv,US,328900,94515,97323,63529
2018,1,9,ny,US,1692425,531104,601898,367923
2018,1,9,oh,US,1070567,345808,448003,267840
2018,1,9,ok,US,517277,167056,205347,126243
2018,1,9,or,US,310588,96574,110572,71684
2018,1,9,pa,US,1002442,332504,402251,244280
2018,1,9,pr,US,76392,30783,36500,22328
2018,1,9,ri,US,77876,26871,30600,18378
2018,1,9,sc,US,494166,155134,200002,117064
2018,1,9,sd,US,73467,24200,29497,18153
2018,1,9,tn,US,705686,218569,271855,163119
2018,1,9,tx,US,3488745,1026352,1283429,777851
2018,1,9,ut,US,272553,81414,105109,61984
2018,1,9,va,US,754839,251074,294679,181453
2018,1,9,vi,US,403,223,0,0
2018,1,9,vt,US,36227,12874,14762,9186
2018,1,9,wa,US,598543,197992,218480,144228
2018,1,9,wi,US,490034,171678,214163,133790
2018,1,9,wv,US,133778,50543,58130,36829
2018,1,9,wy,US,40607,14362,16084,10102
2018,1,10,ALL,"",32964757,10032734,12270307,7466932
2018,1,10,ALL_CA,CA,5,4,5,4
2018,1,10,ALL_US,US,32964752,10032731,12270302,7466928
2018,1,10,ak,US,41455,14767,15392,10621
2018,1,10,al,US,638698,201755,255503,153681
2018,1,10,ar,US,346267,110385,138004,82698
2018,1,10,as,US,45,34,38,31
2018,1,10,az,US,634682,192141,227832,141145
2018,1,10,bc,CA,3,3,3,3
2018,1,10,ca,US,3761095,1074132,1230951,775747
2018,1,10,co,US,533580,165038,187730,117851
2018,1,10,ct,US,273035,88383,108330,63914
2018,1,10,dc,US,211455,70899,39317,24913
2018,1,10,de,US,78919,27337,30427,18457
2018,1,10,fl,US,3141086,934548,1049014,631190
2018,1,10,ga,US,1254195,365905,458373,269301
2018,1,10,gu,US,4858,2045,2429,1561
2018,1,10,hi,US,133153,37646,36022,23767
2018,1,10,ia,US,309678,105044,131844,79275
2018,1,10,id,US,127774,42472,51786,31883
2018,1,10,il,US,1172157,372223,457345,276853
2018,1,10,in,US,615661,200920,252254,151162
2018,1,10,ks,US,353377,120327,150094,90593
2018,1,10,ky,US,406061,136001,163890,99496
2018,1,10,la,US,526339,167391,203390,123535
2018,1,10,ma,US,500724,165096,183088,110466
2018,1,10,md,US,574656,189512,210388,128492
2018,1,10,me,US,77061,27535,33920,20966
2018,1,10,mi,US,906215,299890,385235,233332
2018,1,10,mn,US,499323,165188,201327,124030
2018,1,10,mo,US,646663,208901,255575,154007
2018,1,10,mp,US,507,331,499,328
